IdFeedBack,Prediction
S02_Sess01_FB001,1
S02_Sess01_FB002,1
S02_Sess01_FB003,0
S02_Sess01_FB004,0
S02_Sess01_FB005,1
S02_Sess01_FB006,0
S02_Sess01_FB007,1
S02_Sess01_FB008,1
S02_Sess01_FB009,0
S02_Sess01_FB010,1
S02_Sess01_FB011,1
S02_Sess01_FB012,1
S02_Sess01_FB013,0
S02_Sess01_FB014,1
S02_Sess01_FB015,1
S02_Sess01_FB016,1
S02_Sess01_FB017,1
S02_Sess01_FB018,1
S02_Sess01_FB019,1
S02_Sess01_FB020,1
S02_Sess01_FB021,1
S02_Sess01_FB022,1
S02_Sess01_FB023,1
S02_Sess01_FB024,0
S02_Sess01_FB025,1
S02_Sess01_FB026,0
S02_Sess01_FB027,1
S02_Sess01_FB028,0
S02_Sess01_FB029,1
S02_Sess01_FB030,1
S02_Sess01_FB031,1
S02_Sess01_FB032,1
S02_Sess01_FB033,1
S02_Sess01_FB034,1
S02_Sess01_FB035,1
S02_Sess01_FB036,1
S02_Sess01_FB037,0
S02_Sess01_FB038,1
S02_Sess01_FB039,1
S02_Sess01_FB040,0
S02_Sess01_FB041,1
S02_Sess01_FB042,1
S02_Sess01_FB043,1
S02_Sess01_FB044,1
S02_Sess01_FB045,1
S02_Sess01_FB046,1
S02_Sess01_FB047,1
S02_Sess01_FB048,1
S02_Sess01_FB049,1
S02_Sess01_FB050,1
S02_Sess01_FB051,1
S02_Sess01_FB052,1
S02_Sess01_FB053,1
S02_Sess01_FB054,1
S02_Sess01_FB055,1
S02_Sess01_FB056,1
S02_Sess01_FB057,1
S02_Sess01_FB058,1
S02_Sess01_FB059,1
S02_Sess01_FB060,1
S02_Sess02_FB001,1
S02_Sess02_FB002,1
S02_Sess02_FB003,0
S02_Sess02_FB004,1
S02_Sess02_FB005,0
S02_Sess02_FB006,1
S02_Sess02_FB007,0
S02_Sess02_FB008,1
S02_Sess02_FB009,1
S02_Sess02_FB010,0
S02_Sess02_FB011,0
S02_Sess02_FB012,1
S02_Sess02_FB013,0
S02_Sess02_FB014,0
S02_Sess02_FB015,1
S02_Sess02_FB016,1
S02_Sess02_FB017,1
S02_Sess02_FB018,1
S02_Sess02_FB019,1
S02_Sess02_FB020,0
S02_Sess02_FB021,0
S02_Sess02_FB022,1
S02_Sess02_FB023,0
S02_Sess02_FB024,1
S02_Sess02_FB025,1
S02_Sess02_FB026,1
S02_Sess02_FB027,1
S02_Sess02_FB028,1
S02_Sess02_FB029,1
S02_Sess02_FB030,0
S02_Sess02_FB031,1
S02_Sess02_FB032,1
S02_Sess02_FB033,1
S02_Sess02_FB034,1
S02_Sess02_FB035,1
S02_Sess02_FB036,0
S02_Sess02_FB037,1
S02_Sess02_FB038,0
S02_Sess02_FB039,1
S02_Sess02_FB040,1
S02_Sess02_FB041,1
S02_Sess02_FB042,0
S02_Sess02_FB043,1
S02_Sess02_FB044,1
S02_Sess02_FB045,1
S02_Sess02_FB046,1
S02_Sess02_FB047,1
S02_Sess02_FB048,1
S02_Sess02_FB049,1
S02_Sess02_FB050,1
S02_Sess02_FB051,1
S02_Sess02_FB052,1
S02_Sess02_FB053,0
